Neighborhood,CSA
DOWNTOWN,Downtown/Seton Hill
FRANKFORD,Cedonia/Frankford
BELAIR-EDISON,Belair-Edison
BROOKLYN,Brooklyn/Curtis Bay/Hawkins Point
CHERRY HILL,Cherry Hill
SANDTOWN-WINCHESTER,Sandtown-Winchester/Harlem Park
CANTON,Canton
PATTERSON PARK,Patterson Park North & East
INNER HARBOR,Inner Harbor/Federal Hill
UPTON,Upton/Druid Heights
FELLS POINT,Fells Point
HAMILTON HILLS,Hamilton hills
COLDSTREAM HOMESTEAD MONT,Coldstream
WASHINGTON VILLAGE/PIGTOW,Washington
MONDAWMIN,Mondawmin
MCELDERRY PARK,Patterson Park North & East
CENTRAL PARK HEIGHTS,Southern Park Heights
MOUNT VERNON,Midtown
BROADWAY EAST,Greenmount East
CARROLLTON RIDGE,Southwest Baltimore
HAMPDEN,Medfield/Hampden/Woodberry/Remington
EAST BALTIMORE MIDWAY,Midway/Coldstream
RESERVOIR HILL,Penn North/Reservoir Hill
MID-TOWN BELVEDERE,Chinquapin Park/Belvedere
OLIVER,Greenmount East
ELLWOOD PARK/MONUMENT,Patterson Park North & East
CHARLES VILLAGE,Greater Charles Village/Barclay
HARLEM PARK,Sandtown-Winchester/Harlem Park
BALTIMORE HIGHLANDS,Highlandtown
BETTER WAVERLY,Midway/Coldstream
MORRELL PARK,Morrell Park/Violetville
CHARLES NORTH,Greater Charles Village/Barclay
PENROSE/FAYETTE STREET OU,Southwest Baltimore
WALTHERSON,Harford/Echodale
CURTIS BAY,Brooklyn/Curtis Bay/Hawkins Point
REISTERSTOWN STATION,Glen-Fallstaff
LAKELAND,Westport/Mount Winans/Lakeland
GLENHAM-BELHAR,Hamilton
HIGHLANDTOWN,Orangeville/East Highlandtown
HOWARD PARK,Howard Park/West Arlington
EDNOR GARDENS-LAKESIDE,The Waverlies
WASHINGTON HILL,Harbor East/Little Italy
PULASKI INDUSTRIAL AREA,Southeastern
IRVINGTON,Allendale/Irvington/S. Hilton
BOLTON HILL,Midtown
PENN NORTH,Penn North/Reservoir Hill
GLEN,Glen-Fallstaff
MILLHILL,Southwest Baltimore
DUNBAR-BROADWAY,Oldtown/Middle East
BARCLAY,Greater Charles Village/Barclay
RIVERSIDE,South Baltimore
POPPLETON,Poppleton/The Terraces/Hollins Market
MADISON PARK,Upton/Druid Heights
FEDERAL HILL,Inner Harbor/Federal Hill
LOCH RAVEN,Loch Raven
GREEKTOWN,Orangeville/East Highlandtown
CARROLL - CAMDEN INDUSTRI,Allendale/Irvington/S. Hilton
FRANKLIN SQUARE,Southwest Baltimore
JONESTOWN,Oldtown/Middle East
WOODMERE,Glen-Fallstaff
NORTH HARFORD ROAD,Harford/Echodale
BEREA,Clifton-Berea
HOLLINS MARKET,Poppleton/The Terraces/Hollins Market
OLDTOWN,Oldtown/Middle East
JOHNSTON SQUARE,Greenmount East
UPPER FELLS POINT,Fells Point
NEW SOUTHWEST/MOUNT CLARE,Southwest Baltimore
NEW NORTHWOOD,Northwood
PARK CIRCLE,Southern Park Heights
GAY STREET,Oldtown/Middle East
DRUID HEIGHTS,Upton/Druid Heights
CARE,
ARLINGTON,Pimlico/Arlington/Hilltop
MADISON-EASTEND,Madison/East End
CANTON INDUSTRIAL AREA,Southeastern
WAVERLY,The Waverlies
ROSEMONT,Greater Rosemont
ALLENDALE,Allendale/Irvington/S. Hilton
LAURAVILLE,Lauraville
DOWNTOWN WEST,Downtown/Seton Hill
GREENMOUNT WEST,Midtown
WALBROOK,Forest Park/Walbrook
REMINGTON,Medfield/Hampden/Woodberry/Remington
GREENSPRING,Southern Park Heights
HANLON-LONGWOOD,Greater Mondawmin
MIDTOWN-EDMONDSON,Sandtown-Winchester/Harlem Park
SHIPLEY HILL,Southwest Baltimore
COPPIN HEIGHTS/ASH-CO-EAS,Greater Rosemont
PENN-FALLSWAY,Oldtown/Middle East
BRIDGEVIEW/GREENLAWN,Greater Rosemont
GLEN OAKS,Loch Raven
MIDDLE EAST,Oldtown/Middle East
EDMONDSON VILLAGE,Allendale/Irvington/S. Hilton
CYLBURN,Pimlico/Arlington/Hilltop
VIOLETVILLE,Morrell Park/Violetville
SOUTH BALTIMORE,South Baltimore
CEDMONT,Cedonia/Frankford
SETON HILL,Downtown/Seton Hill
PEN LUCY,Greater Govans
MILTON-MONTFORD,Madison/East End
WESTFIELD,Hamilton
BUTCHER'S HILL,Fells Point
HOMELAND,North Baltimore/Guilford/Homeland
GRACELAND PARK,Southeastern
FALLSTAFF,Glen-Fallstaff
UNION SQUARE,Southwest Baltimore
ARMISTEAD GARDENS,Claremont/Armistead
OLD GOUCHER,Greater Charles Village/Barclay
ASHBURTON,Dorchester/Ashburton
ROGNEL HEIGHTS,Edmondson Village
DOLFIELD,Dorchester/Ashburton
PARKVIEW/WOODBROOK,Penn North/Reservoir Hill
BEECHFIELD,Beechfield/Ten Hills/West Hills
WESTPORT,Westport/Mount Winans/Lakeland
FRANKLINTOWN ROAD,Dickeyville/Franklintown
LITTLE ITALY,Harbor East/Little Italy
MOUNT WASHINGTON,Mount Washington/Coldspring
DORCHESTER,Dorchester/Ashburton
PATTERSON PLACE,Patterson Park North & East
BAYVIEW,Orangeville/East Highlandtown
BREWERS HILL,Highlandtown
EDGEWOOD,Edmondson Village
EASTERWOOD,Sandtown-Winchester/Harlem Park
BROENING MANOR,Southeastern
ROSEMONT HOMEOWNERS/TENAN,Greater Rosemont
ROLAND PARK,Greater Roland Park/Poplar Hill
PERKINS HOMES,Harbor East/Little Italy
ABELL,Greater Charles Village/Barclay
CHESWOLDE,Cross-Country/Cheswolde
PARKSIDE,Cedonia/Frankford
HARWOOD,Greater Charles Village/Barclay
NORTHWEST COMMUNITY ACTIO,Greater Rosemont
MOSHER,Greater Rosemont
HILLEN,Northwood
UNIVERSITY OF MARYLAND,Downtown/Seton Hill
SAINT JOSEPHS,Allendale/Irvington/S. Hilton
MOUNT HOLLY,Forest Park/Walbrook
WEST ARLINGTON,Howard Park/West Arlington
WESTGATE,Beechfield/Ten Hills/West Hills
TOWANDA-GRANTLEY,Southern Park Heights
GUILFORD,North Baltimore/Guilford/Homeland
WEST FOREST PARK,Forest Park/Walbrook
PERRING LOCH,Northwood
CLIFTON PARK,Belair-Edison
PARKLANE,
YALE HEIGHTS,Allendale/Irvington/S. Hilton
CROSS COUNTRY,Cross-Country/Cheswolde
EAST ARLINGTON,Dorchester/Ashburton
FOUR BY FOUR,Belair-Edison
LIBERTY SQUARE,Greater Mondawmin
ROSEMONT EAST,Hamilton
WINDSOR HILLS,Forest Park/Walbrook
SOUTH CLIFTON PARK,Clifton-Berea
FOREST PARK,Forest Park/Walbrook
HERITAGE CROSSING,Upton/Druid Heights
GROVE PARK,Howard Park/West Arlington
LEVINDALE,Pimlico/Arlington/Hilltop
GWYNNS FALLS,Allendale/Irvington/S. Hilton
BIDDLE STREET,Clifton-Berea
CAMERON VILLAGE,Chinquapin Park/Belvedere
LANGSTON HUGHES,Pimlico/Arlington/Hilltop
HUNTING RIDGE,Beechfield/Ten Hills/West Hills
WOODBERRY,Medfield/Hampden/Woodberry/Remington
MEDFORD,Southeastern
DARLEY PARK,Clifton-Berea
WOODBOURNE HEIGHTS,Loch Raven
CENTRAL FOREST PARK,Howard Park/West Arlington
CEDONIA,Cedonia/Frankford
CALLAWAY-GARRISON,Dorchester/Ashburton
IDLEWOOD,Loch Raven
PIMLICO GOOD NEIGHBORS,Pimlico/Arlington/Hilltop
GARWYN OAKS,Forest Park/Walbrook
OTTERBEIN,Inner Harbor/Federal Hill
MID-GOVANS,Greater Govans
LAKE WALKER,Chinquapin Park/Belvedere
MEDFIELD,Medfield/Hampden/Woodberry/Remington
WINSTON-GOVANS,Greater Govans
RIDGELY'S DELIGHT,Inner Harbor/Federal Hill
WAKEFIELD,Dickeyville/Franklintown
CARROLL-SOUTH HILTON,Allendale/Irvington/S. Hilton
OAKENSHAWE,Greater Charles Village/Barclay
RAMBLEWOOD,Loch Raven
PANWAY/BRADDISH AVENUE,Greater Mondawmin
ORCHARD RIDGE,Claremont/Armistead
UPLANDS,Allendale/Irvington/S. Hilton
SHARP-LEADENHALL,Inner Harbor/Federal Hill
HOPKINS BAYVIEW,Orangeville/East Highlandtown
FAIRMONT,Forest Park/Walbrook
WINCHESTER,Sandtown-Winchester/Harlem Park
EVERGREEN LAWN,Greater Rosemont
COLDSPRING,Mount Washington/Coldspring
KRESSON,Orangeville/East Highlandtown
FAIRFIELD AREA,Brooklyn/Curtis Bay/Hawkins Point
WEST HILLS,Beechfield/Ten Hills/West Hills
WOODBOURNE-MCCABE,Greater Govans
SETON BUSINESS PARK,
PLEASANT VIEW GARDENS,Oldtown/Middle East
CONCERNED CITIZENS OF FOR,
BOYD-BOOTH,Southwest Baltimore
MIDDLE BRANCH/REEDBIRD PA,Cherry Hill
ORANGEVILLE,Orangeville/East Highlandtown
CHINQUAPIN PARK,Chinquapin Park/Belvedere
HOES HEIGHTS,
O'DONNELL HEIGHTS,Southeastern
KENILWORTH PARK,Greater Govans
BELVEDERE,Chinquapin Park/Belvedere
TEN HILLS,Beechfield/Ten Hills/West Hills
ORIGINAL NORTHWOOD,Northwood
LOCUST POINT,South Baltimore
BURLEITH-LEIGHTON,Greater Mondawmin
STADIUM AREA,
MAYFIELD,Belair-Edison
ARCADIA,Lauraville
PORT COVINGTON,South Baltimore
WILHELM PARK,Morrell Park/Violetville
WILSON PARK,Greater Govans
ROSEBANK,North Baltimore/Guilford/Homeland
LUCILLE PARK,Glen-Fallstaff
LOCUST POINT INDUSTRIAL A,
FRANKLINTOWN,Dickeyville/Franklintown
MOUNT WINANS,Westport/Mount Winans/Lakeland
WYMAN PARK,Medfield/Hampden/Woodberry/Remington
ORANGEVILLE INDUSTRIAL AR,Orangeville/East Highlandtown
SAINT AGNES,Morrell Park/Violetville
MORAVIA-WALTHER,Lauraville
TUSCANY-CANTERBURY,North Baltimore/Guilford/Homeland
DRUID HILL PARK,Penn North/Reservoir Hill
NORTH ROLAND PARK/POPLAR,Greater Roland Park/Poplar Hill
STONEWOOD-PENTWOOD-WINSTO,Northwood
BEVERLY HILLS,Lauraville
EVESHAM PARK,Chinquapin Park/Belvedere
JONES FALLS AREA,Medfield/Hampden/Woodberry/Remington
KERNEWOOD,North Baltimore/Guilford/Homeland
CARROLL PARK,Washington Village/Pigtown
MONTEBELLO,
MORGAN STATE UNIVERSITY,Northwood
LOWER EDMONDSON VILLAGE,Allendale/Irvington/S. Hilton
CROSS KEYS,Greater Roland Park/Poplar Hill
TREMONT,Beechfield/Ten Hills/West Hills
RICHNOR SPRINGS,Greater Govans
SAINT HELENA,Southeastern
OVERLEA,
BARRE CIRCLE,Washington Village/Pigtown
RADNOR-WINSTON,North Baltimore/Guilford/Homeland
LAKE EVESHAM,North Baltimore/Guilford/Homeland
WYNDHURST,North Baltimore/Guilford/Homeland
CEDARCROFT,North Baltimore/Guilford/Homeland
JOHNS HOPKINS HOMEWOOD,Greater Charles Village/Barclay
YORK-HOMELAND,North Baltimore/Guilford/Homeland
BELAIR-PARKSIDE,Belair-Edison
OAKLEE,Morrell Park/Violetville
HAWKINS POINT,Brooklyn/Curtis Bay/Hawkins Point
SABINA-MATTFELDT,Mount Washington/Coldspring
PURNELL,Dickeyville/Franklintown
WRENLANE,
DICKEYVILLE,Dickeyville/Franklintown
HOLABIRD INDUSTRIAL PARK,Southeastern
EVERGREEN,Greater Roland Park/Poplar Hill
LOYOLA/NOTRE DAME,North Baltimore/Guilford/Homeland
FOREST PARK GOLF COURSE,Howard Park/West Arlington
THE ORCHARDS,North Baltimore/Guilford/Homeland
EASTWOOD,Orangeville/East Highlandtown
GWYNNS FALLS/LEAKIN PARK,Dickeyville/Franklintown
KESWICK,Greater Roland Park/Poplar Hill
SPRING GARDEN INDUSTRIAL,
BELLONA-GITTINGS,North Baltimore/Guilford/Homeland
SAINT PAUL,Morrell Park/Violetville
CURTIS BAY INDUSTRIAL ARE,Brooklyn/Curtis Bay/Hawkins Point
HERRING RUN PARK,Belair-Edison
MORGAN PARK,Lauraville
TAYLOR HEIGHTS,Harford/Echodale
LOWER HERRING RUN PARK,Belair-Edison
VILLAGES OF HOMELAND,North Baltimore/Guilford/Homeland
GREENMOUNT CEMETERY,Greenmount East
MT PLEASANT PARK,Loch Raven
BLYTHEWOOD,North Baltimore/Guilford/Homeland
ELLWOOD PARK/MONUMENT,Patterson Park North & East
DUNDALK MARINE TERMINAL,Southeastern